"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"When in his homes, Jason ____ to walk around barefoot.","likes","like",,,30,1,,
2,"The bags of chalk ____ on the floor.","are","is",,,30,2,,
3,"On the table ____ pens of various colors.","sits","sit",,,30,2,,
4,"Back on the horse, the rider wearing tons of colorful flags ____ gleefully.","wave","waves",,,30,2,,
5,"The fruits over there ____ rotten.","is","are",,,30,2,,
6,"Just as you look out the window, a flock of ducks ____ by in a V formation.","flies","fly",,,30,1,,
7,"The stars in our galaxy ____ bright at night.","shines","shine",,,30,2,,
8,"The human on rollerblades ____ gracefully around the park.","skate","skates",,,30,2,,
9,"The pencils on the desk ____ all dull or broken.","is","are",,,30,2,,
10,"Tapping the tempo with her toe, Amelia ____ perfect time during her performances.","keep","keeps",,,30,2,,
11,"The horses, each fitted with a harness, ____ around the enclosure.","gallop","gallops",,,30,1,,
12,"The judge and the scientist ____ on the bench in the park.","sit","sits",,,30,1,,
13,"One of the actors in both plays ____ struggling with their lines.","are","is",,,30,2,,
14,"Among the many decorations at the party, the balloons ____ floating near the ceiling.","were","was",,,30,1,,
15,"The bouquet of flowers, which my friend picked, ____ bright and colorful.","look","looks",,,30,2,,
16,"Sitting in the front row, the children ____ excited about the performance.","are","is",,,30,1,,
17,"Each of the dogs in the park ____ barking loudly at the squirrels.","are","is",,,30,2,,
18,"With a plethora of choices available, the menu ____ overwhelming at first glance.","is","are",,,30,1,,
19,"The travelers, along with their guide, ____ visiting several historical sites this week.","is","are",,,30,2,,
20,"Despite the rain, the crowd of fans ____ cheering for their team.","are","is",,,30,2,,
21,"Across the valley, the herd of deer ____ grazing peacefully in the field.","can be seen","are seen",,,30,1,,
22,"The box of chocolates, which was a gift, ____ now empty after the party.","are","is",,,30,2,,
23,"Inside the box, a series of intricate puzzles ____ waiting to be solved.","are","is",,,30,1,,
24,"During the lecture at the university, several species of birds ____ discussed in great detail.","were","was",,,30,1,,
25,"With a plethora of books available, the shelves in the library ____ lined with new arrivals.","is","are",,,30,2,,
26,"The tourists, who have traveled the world, ____ sharing their adventure stories.","is","are",,,30,2,,
27,"Despite the suggestions from a few experts, many methods of teaching ____ still debated.","is","are",,,30,2,,
