"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"After finishing lunch, the dog chased the mailman down the street. Who finished lunch?","the street","the mailman","lunch","the dog",30,4,,
2,"Jogging in the park, the sandwich fell from my backpack. Who was jogging?","the sandwich","my backpack","jogging","the park",30,1,,
3,"While reading a book, the baby cried so loudly that Joann sprinted up the stairs. Who was reading a book?","the stairs","Joann","the baby","loudly",30,3,,
4,"While painting the fence, a bee stung Sarah on the hand. Who was painting?","the hand","the bee","Sarah","the fence",30,2,,
5,"Running down the street, the shoes flew off Jacob in a hurry. Who was running?","the shoes","the street","Jacob","in a hurry",30,1,,
6,"Wearing a bright helmet, the bicycle raced down the hill faster than Bob imagined. What was wearing a bright helmet?","faster","the bicycle","the hill","Bob",30,2,,
7,"On her way to the concert, the car broke down suddenly and caused Martha to be late. Who was on her way to the concert?","Martha","the car","the concert","suddenly",30,2,,
8,"Flying high in the sky, a tree tangled Max's kite. What was flying high?","in the sky","Max's kite","a tree","tangled",30,3,,
9,"Sipping coffee in the morning, the news shocked me. Who was sipping coffee?","the coffee","in the morning","the news","me",30,3,,
10,"While swimming in the pool, the sun made me feel relaxed. What was swimming?","me","the sun","the pool","relaxed",30,2,,
11,"Chasing a basketball, the cat ran into the boy in the middle of the street. Who was chasing the basketball?","the cat","the ball","the boy","the street",30,1,,
12,"While preparing dinner, the children watched cartoons in front of their tired mother. Who was preparing dinner?","the cartoons","dinner","the mother","the children",30,4,,
13,"Looking out the window, the rain soaked my clothes. Who was looking out the window?","me","the window","the rain","my clothes",30,3,,
14,"Hiking up the mountain, a rainbow appeared in the sky above Kate's head. Who was hiking up the mountain?","the mountain","the rainbow","the sky","Kate",30,2,,
15,"While baking a cake, the dog stole my cookie. Who was baking a cake?","a cake","the dog","me","my cookie",30,2,,
16,"Beeping loudly, my sleepy sister hit the alarm clock's snooze button. What was beeping loudly?","the alarm clock","my sleepy sister","me","the snooze button",30,2,,
17,"Eating a donut, the house started to shake all around Jim and his dog. Who was eating a donut?","Jim's dog","the donut","the house","Jim",30,3,,
18,"Brushing her hair, the wind blew open the window next to Bethany. Who was brushing her hair?","the window","the wind","Bethany","her hair",30,2,,
19,"While washing the dishes, a song played on the Anne's radio. Who was washing the dishes?","the radio","the song","Anne","the dishes",30,2,,
20,"Riding his bike, the car honked its horn loudly at Chad. Who was riding his bike?","the car","Chad","the horn","the bike",30,1,,
21,"Walking through the garden, the flowers were as beautiful as a sunset to Robert. Who was walking through the garden?","the sunset","the flowers","the garden","Robert",30,2,,
22,"After painting the fence, a bee stung me on my foot. Who was painting the fence?","the fence","my foot","the bee","me",30,4,,
23,"Dancing to the music, the book fell off the shelf and hit John's foot. Who was dancing?","the foot","John","the shelf","the book",30,4,,
24,"Throwing a party, the heat was unbearable for Anne. Who was throwing a party?","Anne","a party","unbearable","the heat",30,4,,
25,"While chatting on the phone, the bag fell off the table onto Peter's floor. Who was chatting on the phone?","Peter","the phone","the bag","the table",30,3,,
26,"While planning a trip, the map got wet in the rain even though Vanessa held an umbrella. Who was planning a trip?","the map","Vanessa","the rain","the umbrella",30,1,,
27,"After finishing her homework, the dog barked at Abby for a treat. Who finished her homework?","the treat","her homework","the dog","Anne",30,3,,
28,"After finishing the race, the ice cream tasted extra delicious to Fred. Who finished the race?","Fred","the race","delicious","the ice cream",30,4,,
29,"While shopping for groceries, the car broke down even though Zeke had recently taken it to a mechanic. Who was shopping for groceries?","groceries","the mechanic","Zeke","the car",30,4,,
30,"While mowing the lawn, a rabbit ran in front of Eli. What was mowing?","front","the lawn","Eli","the rabbit",30,4,,
31,"Dancing under the stars, the tree swayed gently and delighted Jenn. Who was dancing?","delighted","the tree","Jenn","the stars",30,2,,
32,"Walking the dog, the rain started pouring and soaked Robin's shoes. Who was walking the dog?","Robin","the shoes","the dog","the rain",30,4,,
33,"Discussing the weather, the coffee spilled all over Gabe's coworkers. Who was discussing the weather?","Gabe","the weather","the coffee","the coworkers",30,3,,
34,"Running late, the train left without me, so I bought another ticket. Who was running late?","running","me","the train","the ticket",30,3,,
35,"Waiting for the bus, her camera captured a sunset that Jane thought was the most beautiful sunset ever. Who was waiting for the bus?","the sunset","the bus","the camera","Jane",30,3,,
36,"While sitting at a desk, a colorful umbrella passed the window and caught the accountant's attention. Who was sitting at the desk?","the desk","the accountant","the window","the umbrella",30,4,,
37,"Having trouble opening the jar, the father offered to help the child with their problem. Who was having trouble opening the jar?","the father","the jar","the child","their problem",30,1,,
38,"With papers in hand, a lion attacked the lawyer walking to court. Who had papers in hand?","court","the lion","the papers","the lawyer",30,2,,
39,"Picking up the pieces of balloon, the hot sun melted George's skin into puddles of sweat. Who was picking up the pieces?","the balloon","the puddles","the sun","George",30,3,,
40,"Carrying the heavy gear, a boulder smashed down the hill in front of the hikers. Who was carrying the heavy gear?","the hill","the heavy gear","the boulder","the hikers",30,3,,
41,"Holding his last health potion, the dragon unleashed a poison-breath attack at the knight. Who was holding a health potion?","the dragon","the poison-breath attack","the potion","the knight",30,1,,
42,"Sitting cross-legged, ants swarmed all over Henry's backpack looking for crumbs. Who sat cross-legged?","Henry","the ants","the crumbs","the backpack",30,2,,
43,"Shouting as loud as possible, the pandas cowered in fear of the wild monkeys. Who was shouting?","the shouting","the pandas","the fear","the monkeys",30,2,,
44,"Hopping on one foot, the table fell over and caused Frank to hit his head. Who was hopping on one foot?","Frank's head","the table","the foot","Frank",30,2,,
45,"Writing carefully in fancy cursive, the letter was Angela's finest piece of penmanship. Who was writing in fancy cursive?","the letter","the cursive","the penmanship","Angela",30,1,,
46,"Hoping to get elected for president, the microphone cut out on Vinny in front of the crowd. Who was hoping to get elected for president?","the crowd","the microphone","Vinny","the president",30,2,,
47,"After taking a shower, a muddy puppy ran up to Kelly and jumped up to lick her face. Who had taken the shower?","Kelly","Kelly's face","the shower","the muddy puppy",30,4,,
48,"Thinking about how all his life choices had led to this moment, a bull rushed directly at Jose. Who was thinking about his choices?","his life","Jose","this moment","the bull",30,4,,
49,"With his final college test done, the sun shined extra bright upon the leaves and birds in front of Xavier. Who finished his final college test?","Xavier","the sun","the leaves","the birds",30,2,,
50,"After finishing her homework, Joann celebrated with ice cream. Who finished her homework?","celebrated","the homework","ice cream","Joann",30,4,,
